Academy Allocations,AY2017/18,Recoupment,RecoupmentNewISB,Recoupment New ISB,Dataset,Recoupment New ISB,Recoupment New ISB,lbl_IDACIP5,IDACI (P5),Static
Academy Allocations,AY2017/18,Recoupment,RecoupmentNewISB,Recoupment New ISB,Dataset,Recoupment New ISB,Recoupment New ISB,lbl_IDACIP6,IDACI (P6),Static
Academy Allocations,AY2017/18,Recoupment,RecoupmentNewISB,Recoupment New ISB,Dataset,Recoupment New ISB,Recoupment New ISB,txt_IDACIP6,IDACI (P6),Field
Academy Allocations,AY2017/18,Recoupment,RecoupmentNewISB,Recoupment New ISB,Dataset,Recoupment New ISB,Recoupment New ISB,txt_IDACIS0,IDACI (S0),Field
Academy Allocations,AY2017/18,Recoupment,RecoupmentNewISB,Recoupment New ISB,Dataset,Recoupment New ISB,Recoupment New ISB,lbl_IDACIS0,IDACI (S0),Static
Academy Allocations,AY2017/18,Recoupment,RecoupmentNewISB,Recoupment New ISB,Dataset,Recoupment New ISB,Recoupment New ISB,lbl_IDACIS1,IDACI (S1),Static
Academy Allocations,AY2017/18,Recoupment,RecoupmentNewISB,Recoupment New ISB,Dataset,Recoupment New ISB,Recoupment New ISB,txt_IDACIS1,IDACI (S1),Field
Academy Allocations,AY2017/18,Recoupment,RecoupmentNewISB,Recoupment New ISB,Dataset,Recoupment New ISB,Recoupment New ISB,txt_IDACIS2,IDACI (S2),Field
Academy Allocations,AY2017/18,Recoupment,RecoupmentNewISB,Recoupment New ISB,Dataset,Recoupment New ISB,Recoupment New ISB,lbl_IDACIS2,IDACI (S2),Static
Academy Allocations,AY2017/18,Recoupment,RecoupmentNewISB,Recoupment New ISB,Dataset,Recoupment New ISB,Recoupment New ISB,txt_IDACIS3,IDACI (S3),Field
Academy Allocations,AY2017/18,Recoupment,RecoupmentNewISB,Recoupment New ISB,Dataset,Recoupment New ISB,Recoupment New ISB,lbl_IDACIS3,IDACI (S3),Static
Academy Allocations,AY2017/18,Recoupment,RecoupmentNewISB,Recoupment New ISB,Dataset,Recoupment New ISB,Recoupment New ISB,lbl_IDACIS4,IDACI (S4),Static
Academy Allocations,AY2017/18,Recoupment,RecoupmentNewISB,Recoupment New ISB,Dataset,Recoupment New ISB,Recoupment New ISB,txt_IDACIS4,IDACI (S4),Field
Academy Allocations,AY2017/18,Recoupment,RecoupmentNewISB,Recoupment New ISB,Dataset,Recoupment New ISB,Recoupment New ISB,txt_IDACIS5,IDACI (S5),Field
Academy Allocations,AY2017/18,Recoupment,RecoupmentNewISB,Recoupment New ISB,Dataset,Recoupment New ISB,Recoupment New ISB,lbl_IDACIS5,IDACI (S5),Static
Academy Allocations,AY2017/18,Recoupment,RecoupmentNewISB,Recoupment New ISB,Dataset,Recoupment New ISB,Recoupment New ISB,lbl_IDACIS6,IDACI (S6),Static
Academy Allocations,AY2017/18,Recoupment,RecoupmentNewISB,Recoupment New ISB,Dataset,Recoupment New ISB,Recoupment New ISB,txt_IDACIS6,IDACI (S6),Field
Academy Allocations,AY2017/18,Recoupment,RecoupmentNewISB,Recoupment New ISB,Dataset,Recoupment New ISB,Recoupment New ISB,txt_EALP,EAL (P),Field
Academy Allocations,AY2017/18,Recoupment,RecoupmentNewISB,Recoupment New ISB,Dataset,Recoupment New ISB,Recoupment New ISB,lbl_EALP,EAL (P),Static
Academy Allocations,AY2017/18,Recoupment,RecoupmentNewISB,Recoupment New ISB,Dataset,Recoupment New ISB,Recoupment New ISB,lbl_EALS,EAL (S),Static
Academy Allocations,AY2017/18,Recoupment,RecoupmentNewISB,Recoupment New ISB,Dataset,Recoupment New ISB,Recoupment New ISB,txt_EALS,EAL (S),Field
Academy Allocations,AY2017/18,Recoupment,RecoupmentNewISB,Recoupment New ISB,Dataset,Recoupment New ISB,Recoupment New ISB,lbl_LAC,LAC,Static
Academy Allocations,AY2017/18,Recoupment,RecoupmentNewISB,Recoupment New ISB,Dataset,Recoupment New ISB,Recoupment New ISB,txt_LAC,LAC,Field
Academy Allocations,AY2017/18,Recoupment,RecoupmentNewISB,Recoupment New ISB,Dataset,Recoupment New ISB,Recoupment New ISB,txt_LowAttainmentP,Low Attainment (P),Field
Academy Allocations,AY2017/18,Recoupment,RecoupmentNewISB,Recoupment New ISB,Dataset,Recoupment New ISB,Recoupment New ISB,lbl_LowAttainmentP,Low Attainment (P),Static
Academy Allocations,AY2017/18,Recoupment,RecoupmentNewISB,Recoupment New ISB,Dataset,Recoupment New ISB,Recoupment New ISB,lbl_LowAttainmentS,Low Attainment (S),Static
Academy Allocations,AY2017/18,Recoupment,RecoupmentNewISB,Recoupment New ISB,Dataset,Recoupment New ISB,Recoupment New ISB,txt_LowAttainmentS,Low Attainment (S),Field
Academy Allocations,AY2017/18,Recoupment,RecoupmentNewISB,Recoupment New ISB,Dataset,Recoupment New ISB,Recoupment New ISB,txt_MobilityP,Mobility (P),Field
Academy Allocations,AY2017/18,Recoupment,RecoupmentNewISB,Recoupment New ISB,Dataset,Recoupment New ISB,Recoupment New ISB,lbl_MobilityP,Mobility (P),Static
Academy Allocations,AY2017/18,Recoupment,RecoupmentNewISB,Recoupment New ISB,Dataset,Recoupment New ISB,Recoupment New ISB,lbl_MobilityS,Mobility (S),Static
Academy Allocations,AY2017/18,Recoupment,RecoupmentNewISB,Recoupment New ISB,Dataset,Recoupment New ISB,Recoupment New ISB,txt_MobilityS,Mobility (S),Field
Academy Allocations,AY2017/18,Recoupment,RecoupmentNewISB,Recoupment New ISB,Dataset,Recoupment New ISB,Recoupment New ISB,txt_LumpSum,Lump Sum,Field
Academy Allocations,AY2017/18,Recoupment,RecoupmentNewISB,Recoupment New ISB,Dataset,Recoupment New ISB,Recoupment New ISB,lbl_LumpSum,Lump Sum,Static
Academy Allocations,AY2017/18,Recoupment,RecoupmentNewISB,Recoupment New ISB,Dataset,Recoupment New ISB,Recoupment New ISB,lbl_SparsityFunding,Sparsity Funding,Static
Academy Allocations,AY2017/18,Recoupment,RecoupmentNewISB,Recoupment New ISB,Dataset,Recoupment New ISB,Recoupment New ISB,txt_SparsityFunding,Sparsity Funding,Field
Academy Allocations,AY2017/18,Recoupment,RecoupmentNewISB,Recoupment New ISB,Dataset,Recoupment New ISB,Recoupment New ISB,txt_LondonFringe,London Fringe,Field
Academy Allocations,AY2017/18,Recoupment,RecoupmentNewISB,Recoupment New ISB,Dataset,Recoupment New ISB,Recoupment New ISB,lbl_LondonFringe,London Fringe,Static
Academy Allocations,AY2017/18,Recoupment,RecoupmentNewISB,Recoupment New ISB,Dataset,Recoupment New ISB,Recoupment New ISB,lbl_SplitSites,Split Sites,Static
Academy Allocations,AY2017/18,Recoupment,RecoupmentNewISB,Recoupment New ISB,Dataset,Recoupment New ISB,Recoupment New ISB,txt_SplitSites,Split Sites,Field
Academy Allocations,AY2017/18,Recoupment,RecoupmentNewISB,Recoupment New ISB,Dataset,Recoupment New ISB,Recoupment New ISB,lbl_Rates,Rates,Static
Academy Allocations,AY2017/18,Recoupment,RecoupmentNewISB,Recoupment New ISB,Dataset,Recoupment New ISB,Recoupment New ISB,txt_Rates,Rates,Field
Academy Allocations,AY2017/18,Recoupment,RecoupmentNewISB,Recoupment New ISB,Dataset,Recoupment New ISB,Recoupment New ISB,txt_PFI,PFI,Field
Academy Allocations,AY2017/18,Recoupment,RecoupmentNewISB,Recoupment New ISB,Dataset,Recoupment New ISB,Recoupment New ISB,lbl_PFI,PFI,Static
Academy Allocations,AY2017/18,Recoupment,RecoupmentNewISB,Recoupment New ISB,Dataset,Recoupment New ISB,Recoupment New ISB,lbl_HistoricalCommitmentsof6thFormFundingfromDSG,Historical Commitments of 6th Form Funding from DSG,Static
Academy Allocations,AY2017/18,Recoupment,RecoupmentNewISB,Recoupment New ISB,Dataset,Recoupment New ISB,Recoupment New ISB,txt_HistoricalCommitmentsof6thFormFundingfromDSG,Historical Commitments of 6th Form Funding from DSG,Field
Academy Allocations,AY2017/18,Recoupment,RecoupmentNewISB,Recoupment New ISB,Dataset,Recoupment New ISB,Recoupment New ISB,txt_1617ApprovedExceptionalCircumstance3,16-17 Approved Exceptional  Circumstance 3,Field
Academy Allocations,AY2017/18,Recoupment,RecoupmentNewISB,Recoupment New ISB,Dataset,Recoupment New ISB,Recoupment New ISB,lbl_1617ApprovedExceptionalCircumstance3,16-17 Approved Exceptional  Circumstance 3,Static
Academy Allocations,AY2017/18,Recoupment,RecoupmentNewISB,Recoupment New ISB,Dataset,Recoupment New ISB,Recoupment New ISB,lbl_1617ApprovedExceptionalCircumstance4,16-17 Approved Exceptional  Circumstance 4,Static
Academy Allocations,AY2017/18,Recoupment,RecoupmentNewISB,Recoupment New ISB,Dataset,Recoupment New ISB,Recoupment New ISB,txt_1617ApprovedExceptionalCircumstance4,16-17 Approved Exceptional  Circumstance 4,Field
Academy Allocations,AY2017/18,Recoupment,RecoupmentNewISB,Recoupment New ISB,Dataset,Recoupment New ISB,Recoupment New ISB,txt_1617ApprovedExceptionalCircumstance5,16-17 Approved Exceptional  Circumstance 5,Field
Academy Allocations,AY2017/18,Recoupment,RecoupmentNewISB,Recoupment New ISB,Dataset,Recoupment New ISB,Recoupment New ISB,lbl_1617ApprovedExceptionalCircumstance5,16-17 Approved Exceptional  Circumstance 5,Static
Academy Allocations,AY2017/18,Recoupment,RecoupmentNewISB,Recoupment New ISB,Dataset,Recoupment New ISB,Recoupment New ISB,lbl_1617ApprovedExceptionalCircumstance6,16-17 Approved Exceptional  Circumstance 6,Static
